Giulian_day; rain_mm; Tmax; Tmin; et0; kcb; lai; pday; irrig_mm; peff_mm; h2o_dispL_mm; h2o_disp_mm; interception_mm; runoff_mm; infiltration_mm; eva_pot_mm; eva_mm; perc1_mm; theta1_mm; ponding_mm; trasp_pot_mm; trasp_act_mm; ks; thickness_II_m; wat_table_depth_under_root_m; capflux_mm; perc2_mm; theta2_mm; theta_old_mm; rawbig; rawinf; wat_table_depth_m; distr_irr_mm; priv_well_irr_mm; espperc1; espperc2; irr_loss_mm
           1 ;   0.00000000     ;   5.87637234     ;   1.48891973     ;  0.598013282     ;   0.00000000     ;   0.00000000     ;  0.648479283     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.717616081     ;  0.717616081     ;  0.275860608     ;   27.8372517     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.306775749     ;   271.415649     ;   271.446533     ;   195.796082     ;   140.053040     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           2 ;   0.00000000     ;   5.75281811     ;   2.01657391     ;  0.718346894     ;   0.00000000     ;   0.00000000     ;  0.671295345     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.862016320     ;  0.862016320     ;  0.178012595     ;   26.7972202     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.305358529     ;   271.288300     ;   271.415649     ;   193.391876     ;   138.335754     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           3 ;   0.00000000     ;   9.78974915     ;  0.729985952     ;  0.579614162     ;   0.00000000     ;   0.00000000     ;  0.665519357     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.695537090     ;  0.695537090     ;  0.116114363     ;   25.9855690     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.302564889     ;   271.101868     ;   271.288300     ;   194.000504     ;   138.770493     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           4 ;   0.00000000     ;   12.7149363     ;   1.87314260     ;  0.574472010     ;   0.00000000     ;   0.00000000     ;  0.672178507     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.689366460     ;  0.689366460     ;   7.98631683E-02 ;   25.2163429     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.299040675     ;   270.882690     ;   271.101868     ;   193.298813     ;   138.269287     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           5 ;   0.00000000     ;   13.3949490     ;  0.820370674     ;  0.861442149     ;   0.00000000     ;   0.00000000     ;  0.672425330     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.03373051     ;   1.03373051     ;   5.14721945E-02 ;   24.1311455     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.295089394     ;   270.639069     ;   270.882690     ;   193.272797     ;   138.250702     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           6 ;   0.00000000     ;   7.27374935     ;  -1.03912175     ;  0.305480927     ;   0.00000000     ;   0.00000000     ;  0.658650756     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.366577089     ;  0.366577089     ;   3.40706892E-02 ;   23.7304916     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.290828556     ;   270.382294     ;   270.639069     ;   194.724274     ;   139.287476     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           7 ;   0.00000000     ;   4.55814743     ;  -1.32361734     ;  0.188350588     ;   0.00000000     ;   0.00000000     ;  0.685336888     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.226020709     ;  0.226020709     ;   2.85007805E-02 ;   23.4759693     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.286534190     ;   270.124268     ;   270.382294     ;   191.912262     ;   137.278900     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           8 ;   0.00000000     ;   4.95412159     ;  -1.70349240     ;   9.98132601E-02 ;   0.00000000     ;   0.00000000     ;  0.690959156     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.119775929     ;  0.119775929     ;   2.55151242E-02 ;   23.3306789     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.282299399     ;   269.867462     ;   270.124268     ;   191.319824     ;   136.855713     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
           9 ;   0.00000000     ;   5.14369678     ;  -1.58711171     ;  0.208684444     ;   0.00000000     ;   0.00000000     ;  0.695208967     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.250421345     ;  0.250421345     ;   2.28711702E-02 ;   23.0573940     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.278149813     ;   269.612183     ;   269.867462     ;   190.872009     ;   136.535858     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
          10 ;   0.00000000     ;   4.07893896     ;  -2.37087846     ;  0.188170165     ;   0.00000000     ;   0.00000000     ;  0.689983130     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.225804195     ;  0.225804195     ;   1.98143218E-02 ;   22.8117752     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.274072915     ;   269.357941     ;   269.612183     ;   191.422684     ;   136.929199     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
          11 ;   0.00000000     ;   4.08034945     ;  -2.18213749     ;  0.217892617     ;   0.00000000     ;   0.00000000     ;  0.690967798     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;  0.261471182     ;  0.261471182     ;   1.71427280E-02 ;   22.5331573     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.270069987     ;   269.104950     ;   269.357941     ;   191.318924     ;   136.855072     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
          12 ;   5.55770881E-02 ;   3.93019676     ;  -2.18835926     ;  0.332079977     ;   0.00000000     ;   0.00000000     ;  0.689541161     ;   0.00000000     ;   5.55770881E-02 ;   5.55770881E-02 ;   5.55770881E-02 ;   0.00000000     ;   0.00000000     ;   5.54881766E-02 ;  0.398495972     ;  0.398495972     ;   1.43802287E-02 ;   22.1757660     ;   0.00000000     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;  0.899999976     ;   44.2080307     ;   0.00000000     ;  0.266140193     ;   268.853180     ;   269.104950     ;   191.469254     ;   136.962463     ;   44.2080307     ;   0.00000000     ;   0.00000000     ;   1.00000000     ;   1.00002313     ;   0.00000000    
