timestamp,idr_tmax,idr_tmin,idr_ptot,idr_umax,idr_umin,idr_vmed,idr_rgcorr
1995/01/01,7.85,-0.91,0,100,44.04,0.424,3.603
1995/01/02,7.09,-1.65,0,100,56.43,0.331,3.892
1995/01/03,6.23,-2.62,0,100,69.76,0.23,4.357
1995/01/04,7.28,-1.72,0,100,70.66,0.296,3.145
1995/01/05,8.07,-2.39,0,100,69.31,0.203,5.791
1995/01/06,12.06,-0.7,0,100,32.64,0.783,5.549
1995/01/07,7.8,-1.22,0,97.91,34.47,0.543,5.628
1995/01/08,11.51,-0.19,0,92.43,21.78,0.866,6.494
1995/01/09,12.42,-1.66,0,100,36.11,0.466,2.388
1995/01/10,10.14,-0.5,0,100,32.03,0.526,7.036
1995/01/11,8.19,-1.65,0,100,59.38,0.335,5.599
1995/01/12,12.21,-1.62,0,97.3,22.68,1.019,5.5
1995/01/13,7.57,-1.89,0,97.9,36.04,0.57,2.131
1995/01/14,11.89,1.1,0,97.3,27.62,0.796,6.497
1995/01/15,5.86,-1.51,0,97.5,43.19,0.546,7.322
1995/01/16,7.94,-0.85,0,100,50.13,0.521,6.233
1995/01/17,3.58,-0.34,0,50.51,15.54,3.367,6.38
1995/01/18,4.53,-4.23,0,73.04,21.24,0.791,6.613
1995/01/19,4.19,-4.27,0,91.46,32.4,0.333,5.976
1995/01/20,3.01,0.71,3.37,98.01,89.68,0.531,0.694
1995/01/21,6.97,-1.76,0,100,52.92,0.53,3.544
1995/01/22,5.65,-1.86,1.97,100,59.08,0.523,5.868
1995/01/23,8.37,2.21,0,100,67.52,0.409,6.318
1995/01/24,8.7,-0.04,0,100,60.9,0.443,5.837
1995/01/25,13.24,-2.79,0,100,43.28,0.502,7.796
1995/01/26,12.3,0.23,0,100,43.9,0.58,8.141
1995/01/27,12.35,-0.09,0,100,58.32,0.413,6.106
1995/01/28,6.6,-1.82,0,98,44.64,0.411,7.76
1995/01/29,3.66,-2.82,0,89.01,36.38,0.501,7.426
1995/01/30,3.56,-3.65,6.47,97.4,47.25,0.77,5.564
1995/01/31,10.35,1.72,20.54,100,66.64,1.862,2.639
1995/02/01,12.17,2.53,21.01,100,65.14,0.881,2.193
1995/02/02,8.23,0.21,0,100,48.42,0.506,7.736
1995/02/03,6.32,-0.43,13,100,66.31,0.607,2.969
